window_id,start_time,end_time,count,expected,z,q_value,pro_rate,delta_pro_rate,dup_fraction,near_dup_fraction,name_weirdness_mean,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,source_detectors,score_primary_driver,score_detector_breakdown,score_signal_breakdown,count_raw,count_exact_row_dedup,count_delta,count_relative_delta,pro_rate_raw,pro_rate_exact_row_dedup,pro_rate_delta,dup_fraction_raw,dup_fraction_exact_row_dedup,dup_fraction_delta
w_20260206T120600_20260206T120600,2026-02-06T12:06:00-08:00,2026-02-06T12:06:00-08:00,37.0,19.94164193867458,,0.0,0.13513513513513514,,0.0,1.0,,79803,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120600_20260206T120600:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),37.0,37.0,0.0,0.0,0.13513513513513514,0.13513513513513514,0.0,0.0,0.0,0.0
w_20260206T120500_20260206T120500,2026-02-06T12:05:00-08:00,2026-02-06T12:05:00-08:00,42.0,19.94164193867458,,0.0,0.047619047619047616,,0.0,1.0,,79766,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120500_20260206T120500:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),42.0,42.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0
w_20260206T120400_20260206T120400,2026-02-06T12:04:00-08:00,2026-02-06T12:04:00-08:00,37.0,19.94164193867458,,0.0,0.13513513513513514,,0.0,1.0,,79724,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120400_20260206T120400:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),37.0,37.0,0.0,0.0,0.13513513513513514,0.13513513513513514,0.0,0.0,0.0,0.0
w_20260206T120300_20260206T120300,2026-02-06T12:03:00-08:00,2026-02-06T12:03:00-08:00,33.0,19.94164193867458,,0.0,0.15151515151515152,,0.0,1.0,,79687,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120300_20260206T120300:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),33.0,33.0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.0,0.0,0.0,0.0
w_20260206T120200_20260206T120200,2026-02-06T12:02:00-08:00,2026-02-06T12:02:00-08:00,49.0,19.94164193867458,,0.0,0.12244897959183673,,0.0,1.0,,79654,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120200_20260206T120200:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),49.0,49.0,0.0,0.0,0.12244897959183673,0.12244897959183673,0.0,0.0,0.0,0.0
w_20260206T120100_20260206T120100,2026-02-06T12:01:00-08:00,2026-02-06T12:01:00-08:00,59.0,19.94164193867458,,0.0,0.23728813559322035,,0.0,1.0,,79605,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120100_20260206T120100:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),59.0,59.0,0.0,0.0,0.23728813559322035,0.23728813559322035,0.0,0.0,0.0,0.0
w_20260206T120000_20260206T120000,2026-02-06T12:00:00-08:00,2026-02-06T12:00:00-08:00,50.0,19.94164193867458,,0.0,0.16,,0.0,1.0,,79546,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T120000_20260206T120000:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),50.0,50.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0
w_20260206T115900_20260206T115900,2026-02-06T11:59:00-08:00,2026-02-06T11:59:00-08:00,65.0,19.94164193867458,,0.0,0.06153846153846154,,0.0,1.0,,79496,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115900_20260206T115900:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),65.0,65.0,0.0,0.0,0.06153846153846154,0.06153846153846154,0.0,0.0,0.0,0.0
w_20260206T115800_20260206T115800,2026-02-06T11:58:00-08:00,2026-02-06T11:58:00-08:00,44.0,19.94164193867458,,0.0,0.1590909090909091,,0.0,1.0,,79431,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115800_20260206T115800:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),44.0,44.0,0.0,0.0,0.1590909090909091,0.1590909090909091,0.0,0.0,0.0,0.0
w_20260206T115700_20260206T115700,2026-02-06T11:57:00-08:00,2026-02-06T11:57:00-08:00,39.0,19.94164193867458,,0.0,0.15384615384615385,,0.0,1.0,,79387,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115700_20260206T115700:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),39.0,39.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0
